A,R,S,τ
1100.0,5400.0,1045.7132615172754,86.94926080326258
1100.0,5450.0,1065.2033539193392,86.96902594731247
1100.0,5500.0,1084.873010256584,86.99044437962509
1100.0,5550.0,1104.7222285618502,87.01040405229747
1100.0,5600.0,1124.7510071691224,87.02810664530249
1100.0,5650.0,1144.9593438160107,87.05444557555995
1100.0,5700.0,1165.347237048244,87.07161137122289
1100.0,5750.0,1185.914684861623,87.0967925337647
1100.0,5800.0,1206.6616853129349,87.11777991081371
1100.0,5850.0,1227.5882365442737,87.14121129939417
1100.0,5900.0,1248.6943365869065,87.16572209683203
1100.0,5950.0,1269.9799835656515,87.18461302125196
1100.0,6000.0,1291.445175441957,87.2073782631247
1150.0,1000.0,34.315230122324905,102.63042705619543
1150.0,1050.0,38.04335797810119,100.9484942810943
1150.0,1100.0,41.952796579816415,99.49005502189591
1150.0,1150.0,46.04362004157781,98.22045485952856
1150.0,1200.0,50.3158860695373,97.10578423648212
1150.0,1250.0,54.7696398805107,96.11265494904394
1150.0,1300.0,59.40491745830818,95.2330159246136
1150.0,1350.0,64.22174772130657,94.45230103014937
1150.0,1400.0,69.22015410053262,93.74075563960528
1150.0,1450.0,74.40015568461739,93.10862955596569
1150.0,1500.0,79.76176817383775,92.53349773573854
1150.0,1550.0,85.30500454688377,92.01426123830696
1150.0,1600.0,91.02987560057986,91.54185339849955
1150.0,1650.0,96.93639030922226,91.10658464311784
1150.0,1700.0,103.02455624321497,90.71429002230032
1150.0,1750.0,109.294379664953,90.3564507998283
1150.0,1800.0,115.74586599062744,90.02541650455835
1150.0,1850.0,122.37901965008673,89.72153480453208
1150.0,1900.0,129.19384445245504,89.44303409170372
1150.0,1950.0,136.19034356696775,89.18841726015323
1150.0,2000.0,143.36851967718954,88.94612210258072
1150.0,2050.0,150.72837503459508,88.73072828173342
1150.0,2100.0,158.26991153542758,88.52795093963958
1150.0,2150.0,165.99313063464976,88.33999588880931
1150.0,2200.0,173.89803367887833,88.16987366230276
1150.0,2250.0,181.9846216806074,88.00811603893071
1150.0,2300.0,190.25289537000788,87.8579583663976
1150.0,2350.0,198.70285555419338,87.72190683760223
1150.0,2400.0,207.3345025028255,87.59286049436533
1150.0,2450.0,216.14783657767913,87.47507825648051
1150.0,2500.0,225.14285794709437,87.36357326009274
1150.0,2550.0,234.3195666137324,87.26259960243105
1150.0,2600.0,243.67796266537619,87.16769080375533
1150.0,2650.0,253.21804615665462,87.07637491334289
1150.0,2700.0,262.93981588581613,86.99520103345696
1150.0,2750.0,272.8432725017575,86.9222984554886
1150.0,2800.0,282.9284153219962,86.85179978784268
1150.0,2850.0,293.19524386094275,86.78608761225364
1150.0,2900.0,303.6437576373496,86.72666823924425
1150.0,2950.0,314.27395602240244,86.67051276314453
1150.0,3000.0,325.08583840881437,86.62387995165747
1150.0,3050.0,336.07940411499806,86.5777097943251
1150.0,3100.0,347.2546524171337,86.53336673292291
1150.0,3150.0,358.61158254454034,86.49279339527436
1150.0,3200.0,370.1501937406373,86.46048008262566
1150.0,3250.0,381.8704849844345,86.42210910751797
1150.0,3300.0,393.7724556061365,86.39033390767591
1150.0,3350.0,405.856104531784,86.36938142533057
1150.0,3400.0,418.1214309091351,86.34353976849184
1150.0,3450.0,430.56843365092783,86.32168929248583
1150.0,3500.0,443.1971118242693,86.29952407481971
1150.0,3550.0,456.00746425912405,86.2820168089412
1150.0,3600.0,468.99949017863423,86.27019222249821
1150.0,3650.0,482.17318818443755,86.25870100208785
1150.0,3700.0,495.52855718423416,86.24482614237347
1150.0,3750.0,509.065596219177,86.23561075654904
