t,M,P,model,gene
96.0,10.978560583810427,1874.0174826090463,Repressilator,Gene 3
97.0,11.252696581594897,2069.911052345449,Repressilator,Gene 3
98.0,11.450575817888343,2245.7717687013737,Repressilator,Gene 3
99.0,11.592660065962852,2401.6732253499213,Repressilator,Gene 3
100.0,11.694310134437268,2538.520858240018,Repressilator,Gene 3
101.0,11.766847849251926,2657.70474696202,Repressilator,Gene 3
102.0,11.818517831322715,2760.8546675690786,Repressilator,Gene 3
103.0,11.855274719711312,2849.674866224504,Repressilator,Gene 3
104.0,11.881393076998178,2925.837443785623,Repressilator,Gene 3
105.0,11.899919786353495,2990.916716375621,Repressilator,Gene 3
106.0,11.912968833778041,3046.350094503903,Repressilator,Gene 3
107.0,11.921635163041763,3093.4108497062093,Repressilator,Gene 3
108.0,11.923020240318596,3133.152379861457,Repressilator,Gene 3
109.0,11.876893345965641,3165.9889744718753,Repressilator,Gene 3
110.0,11.424074101248843,3187.677907065996,Repressilator,Gene 3
111.0,9.576633728384214,3168.8879273806365,Repressilator,Gene 3
112.0,7.085318968467583,3060.2769117353864,Repressilator,Gene 3
113.0,5.069442891728089,2864.65145943363,Repressilator,Gene 3
114.0,3.604138036494012,2617.3520266423143,Repressilator,Gene 3
115.0,2.558780920163784,2349.130535509607,Repressilator,Gene 3
116.0,1.8159070848979988,2080.5404598535797,Repressilator,Gene 3
117.0,1.2885274381124698,1824.0992733406415,Repressilator,Gene 3
118.0,0.9142562936733333,1586.7627486801082,Repressilator,Gene 3
119.0,0.648678977679195,1371.804538591781,Repressilator,Gene 3
120.0,0.46024117152077043,1180.1411814618132,Repressilator,Gene 3
121.0,0.3265414804212847,1011.2397587987004,Repressilator,Gene 3
122.0,0.23168122877544756,863.7280564138199,Repressilator,Gene 3
123.0,0.1643784442385946,735.7974047873464,Repressilator,Gene 3
124.0,0.11662785753737014,625.4629189097265,Repressilator,Gene 3
125.0,0.08274947686484427,530.7266711865147,Repressilator,Gene 3
126.0,0.058713278649276106,449.67549230351176,Repressilator,Gene 3
127.0,0.041659962900956186,380.53531349192474,Repressilator,Gene 3
128.0,0.0295608813325791,321.69710880656663,Repressilator,Gene 3
129.0,0.02097673681374421,271.7247171701771,Repressilator,Gene 3
130.0,0.014886373906861981,229.35150485304678,Repressilator,Gene 3
131.0,0.010565303666678114,193.47053125637615,Repressilator,Gene 3
132.0,0.007499516397909861,163.1212978540407,Repressilator,Gene 3
133.0,0.005324330515225046,137.47507972480082,Repressilator,Gene 3
134.0,0.0037810067527642667,115.82012682197491,Repressilator,Gene 3
135.0,0.0026860902209232228,97.54751133153552,Repressilator,Gene 3
136.0,0.0019097628133875652,82.13761813965455,Repressilator,Gene 3
137.0,0.0013601136871362054,69.14785547403085,Repressilator,Gene 3
138.0,0.0009722358481731827,58.20229375556581,Repressilator,Gene 3
139.0,0.0007007451820189832,48.982287340225355,Repressilator,Gene 3
140.0,0.0005147033960709205,41.21810311900597,Repressilator,Gene 3
141.0,0.0003945242563769689,34.68169682890212,Repressilator,Gene 3
142.0,0.000330775722990605,29.180553441794544,Repressilator,Gene 3
143.0,0.00032526130597891313,24.552494350679826,Repressilator,Gene 3
