t,I,M,P,model,gene
83,-10.308952660644309,41.388276354583375,7818.403311105912,GR,1
84,-10.308952660644309,41.38925656599498,7866.472484542116,GR,1
85,-10.308952660644309,41.390143584286335,7913.594450123941,GR,1
86,-10.308952660644309,41.39094626972606,7959.787523281655,GR,1
87,-10.308952660644309,41.39167264022017,8005.069698674199,GR,1
88,-10.308952660644309,41.3923299513775,8049.458652558348,GR,1
89,-10.308952660644309,41.39292476897386,8092.971745489002,GR,1
90,-10.308952660644309,41.39346303851427,8135.626029400947,GR,1
91,-10.308952660644309,41.39395012166632,8177.438232452749,GR,1
92,-10.308952660644309,41.394390889221356,8218.42479419639,GR,1
93,-10.308952660644309,41.39478975878522,8258.601848078255,GR,1
94,-10.308952660644309,41.39515069977592,8297.985214815297,GR,1
95,-10.308952660644309,41.39547732556701,8336.59043958708,GR,1
96,-10.308952660644309,41.395772906912676,8374.432769158351,GR,1
97,-10.308952660644309,41.39604038089308,8411.52715444318,GR,1
98,-10.308952660644309,41.39628242758078,8447.888282303917,GR,1
99,-10.308952660644309,41.396501463999776,8483.530550231575,GR,1
100,-10.308952660644309,41.396699671258986,8518.468076950472,GR,1
101,-10.308952660644309,41.39687903570242,8552.714728785195,GR,1
102,-10.308952660644309,41.397041349355455,8586.28409261972,GR,1
103,-10.308952660644309,41.3971882281234,8619.18949433581,GR,1
104,-10.308952660644309,41.397321145418516,8651.444018182838,GR,1
105,-10.308952660644309,41.3974414260662,8683.060480322716,GR,1
106,-10.308952660644309,41.39755026901803,8714.051452865902,GR,1
107,-10.308952660644309,41.39764876573638,8744.429276585364,GR,1
108,-10.308952660644309,41.39773789773134,8774.206036298367,GR,1
109,-10.308952660644309,41.39781855405747,8803.393589037523,GR,1
110,-10.308952660644309,41.39789154400998,8832.003569989385,GR,1
111,-10.308952660644309,41.39795759401322,8860.047371513258,GR,1
112,-10.308952660644309,41.39801736355236,8887.536173220482,GR,1
113,-10.308952660644309,41.39807145197899,8914.480941758402,GR,1
114,-10.308952660644309,41.39812039732444,8940.892414735821,GR,1
115,-10.308952660644309,41.39816468873896,8966.781130728566,GR,1
116,-10.308952660644309,41.398204770812605,8992.157433774159,GR,1
117,-10.308952660644309,41.39824103687687,9017.031416331809,GR,1
118,-10.308952660644309,41.39827385736111,9041.413037517006,GR,1
119,-10.308952660644309,41.39830355179237,9065.312019494899,GR,1
120,-10.308952660644309,41.398330425978585,9088.737895550948,GR,1
121,-10.308952660644309,41.398354742898796,9111.700047853095,GR,1
122,-10.308952660644309,41.39837674689599,9134.207606326197,GR,1
123,-10.308952660644309,41.39839666426551,9156.26960935217,GR,1
124,-10.308952660644309,41.398414683990396,9177.894823749437,GR,1
125,-10.308952660644309,41.39843099612359,9199.091925780342,GR,1
126,-10.308952660644309,41.398445755605955,9219.869363190535,GR,1
127,-10.308952660644309,41.39845911321264,9240.23544237691,GR,1
128,-10.308952660644309,41.39847120105637,9260.198315851605,GR,1
129,-10.308952660644309,41.39848213899194,9279.765933614952,GR,1
130,-10.308952660644309,41.39849203768952,9298.946155037114,GR,1
131,-10.308952660644309,41.398500993743575,9317.746605172633,GR,1
132,-10.308952660644309,41.39850910005233,9336.174836538697,GR,1
133,-10.308952660644309,41.3985164339145,9354.238188356338,GR,1
134,-10.308952660644309,41.398523072115374,9371.943895446262,GR,1
135,-10.308952660644309,41.39852907867785,9389.2990382936,GR,1
136,-10.308952660644309,41.39853451439904,9406.310539525368,GR,1
137,-10.308952660644309,41.39853943400943,9422.985228826064,GR,1
138,-10.308952660644309,41.398543885277576,9439.329739043498,GR,1
139,-10.308952660644309,41.398547914133786,9455.350640822262,GR,1
140,-10.308952660644309,41.39855155929217,9471.054310436242,GR,1
141,-10.308952660644309,41.3985548582829,9486.447056425206,GR,1
142,-10.308952660644309,41.3985578422497,9501.535038739543,GR,1
143,-10.308952660644309,41.398560540910005,9516.324219886697,GR,1
144,-10.308952660644309,41.39856298418126,9530.820551715076,GR,1
145,-10.308952660644309,41.39856519435879,9545.02990472056,GR,1
146,-10.308952660644309,41.3985671905351,9558.957880451915,GR,1
147,-10.308952660644309,41.398568997108306,9572.61002605092,GR,1
148,-10.308952660644309,41.398570636373414,9585.991879397625,GR,1
149,-10.308952660644309,41.398572116229786,9599.108788102327,GR,1
150,-10.308952660644309,41.39857345312807,9611.96592658975,GR,1
151,-10.308952660644309,41.39857466604121,9624.568463483554,GR,1
152,-10.308952660644309,41.398575766781,9636.921511424733,GR,1
153,-10.308952660644309,41.39857676040832,9649.029944467335,GR,1
154,-10.308952660644309,41.398577659431815,9660.898575958923,GR,1
155,-10.308952660644309,41.39857847592716,9672.532215434181,GR,1
156,-10.308952660644309,41.39857921529439,9683.935530226368,GR,1
157,-10.308952660644309,41.3985798838026,9695.113012504418,GR,1
158,-10.308952660644309,41.39858048895927,9706.069144140094,GR,1
159,-10.308952660644309,41.39858103735711,9716.80837504243,GR,1
160,-10.308952660644309,41.39858153333106,9727.334955129787,GR,1
161,-10.308952660644309,41.398581981931585,9737.6530585926,GR,1
162,-10.308952660644309,41.39858238817709,9747.76685831665,GR,1
163,-10.308952660644309,41.398582755357516,9757.680426883591,GR,1
164,-10.308952660644309,41.3985830870806,9767.397668313311,GR,1
165,-10.308952660644309,41.398583387502505,9776.922470915137,GR,1
166,-10.308952660644309,41.39858365996713,9786.258704113945,GR,1
167,-10.308952660644309,41.398583905791185,9795.410073069943,GR,1
168,-10.308952660644309,41.39858412803582,9804.380200234502,GR,1
169,-10.308952660644309,41.39858432987704,9813.17270727672,GR,1
170,-10.308952660644309,41.39858451276553,9821.79114511637,GR,1
171,-10.308952660644309,41.39858467798115,9830.238907583598,GR,1
172,-10.308952660644309,41.398584827538436,9838.519368051404,GR,1
173,-10.308952660644309,41.39858496328825,9846.63588962239,GR,1
174,-10.308952660644309,41.39858508618655,9854.591704261842,GR,1
175,-10.308952660644309,41.398585197339166,9862.389955221137,GR,1
176,-10.308952660644309,41.39858529790738,9870.03378421865,GR,1
177,-10.308952660644309,41.3985853889328,9877.526286544422,GR,1
178,-10.308952660644309,41.3985854712533,9884.870414895257,GR,1
179,-10.308952660644309,41.398585545712194,9892.069095434235,GR,1
180,-10.308952660644309,41.39858561310589,9899.125249243822,GR,1
181,-10.308952660644309,41.398585673937305,9906.041696250433,GR,1
182,-10.308952660644309,41.39858572889799,9912.82116508169,GR,1
183,-10.308952660644309,41.398585778729135,9919.466381261449,GR,1
184,-10.308952660644309,41.398585823878086,9925.980040644285,GR,1
185,-10.308952660644309,41.398585864588455,9932.36471390186,GR,1
186,-10.308952660644309,41.398585901420546,9938.622939622745,GR,1
187,-10.308952660644309,41.39858593490566,9944.757254161179,GR,1
188,-10.308952660644309,41.39858596521201,9950.770117704771,GR,1
189,-10.308952660644309,41.398585992597674,9956.66389975079,GR,1
190,-10.308952660644309,41.39858601739083,9962.440964717784,GR,1
191,-10.308952660644309,41.39858603988752,9968.10367328703,GR,1
192,-10.308952660644309,41.39858606026641,9973.65427217934,GR,1
193,-10.308952660644309,41.39858607869607,9979.094926696831,GR,1
194,-10.308952660644309,41.39858609534571,9984.427801249643,GR,1
195,-10.308952660644309,41.398586110384606,9989.65506024792,GR,1
196,-10.308952660644309,41.398586123975,9994.778860536442,GR,1
197,-10.308952660644309,41.398586136226555,9999.801237723974,GR,1
198,-10.308952660644309,41.398586147266656,10004.724141413437,GR,1
199,-10.308952660644309,41.39858615722994,10009.54952073402,GR,1
200,-10.308952660644309,41.39858616625102,10014.279324814921,GR,1
201,-10.308952660644309,41.39858617446242,10018.915502376227,GR,1
202,-10.308952660644309,41.39858618182554,10023.459927237813,GR,1
203,-10.308952660644309,41.39858618836737,10027.914356236908,GR,1
204,-10.308952660644309,41.39858619422685,10032.280542998702,GR,1
205,-10.308952660644309,41.39858619954286,10036.560241148398,GR,1
206,-10.308952660644309,41.39858620445436,10040.755204311188,GR,1
207,-10.308952660644309,41.398586208981385,10044.867158506728,GR,1
208,-10.308952660644309,41.398586212970784,10048.897700727122,GR,1
209,-10.308952660644309,41.39858621651265,10052.848404588554,GR,1
210,-10.308952660644309,41.39858621970736,10056.720844598154,GR,1
211,-10.308952660644309,41.39858622265534,10060.516595263045,GR,1
212,-10.308952660644309,41.398586225435636,10064.237226096084,GR,1
213,-10.308952660644309,41.39858622794755,10067.884215044422,GR,1
214,-10.308952660644309,41.398586230192834,10071.458974405754,GR,1
215,-10.308952660644309,41.398586232210896,10074.962916980588,GR,1
216,-10.308952660644309,41.398586234041076,10078.397455569426,GR,1
217,-10.308952660644309,41.39858623572265,10081.764002907461,GR,1
218,-10.308952660644309,41.39858623726535,10085.06392877624,GR,1
219,-10.308952660644309,41.39858623866374,10088.298510930803,GR,1
220,-10.308952660644309,41.39858623992616,10091.469018374983,GR,1
221,-10.308952660644309,41.39858624106094,10094.576720112615,GR,1
222,-10.308952660644309,41.39858624207639,10097.622885147539,GR,1
223,-10.308952660644309,41.39858624298179,10100.608768735752,GR,1
224,-10.308952660644309,41.39858624378969,10103.535539410963,GR,1
225,-10.308952660644309,41.3985862445118,10106.404337662278,GR,1
226,-10.308952660644309,41.39858624515974,10109.216304400394,GR,1
227,-10.308952660644309,41.39858624574514,10111.97258053601,GR,1
228,-10.308952660644309,41.398586246276594,10114.674304442955,GR,1
229,-10.308952660644309,41.398586246734844,10117.322553584369,GR,1
230,-10.308952660644309,41.39858624712828,10119.91835371308,GR,1
231,-10.308952660644309,41.39858624747461,10122.462730397596,GR,1
232,-10.308952660644309,41.39858624779159,10124.956709206426,GR,1
233,-10.308952660644309,41.398586248096905,10127.40131570476,GR,1
234,-10.308952660644309,41.398586248376716,10129.797545952602,GR,1
235,-10.308952660644309,41.39858624861425,10132.14632726182,GR,1
236,-10.308952660644309,41.39858624881984,10134.44858092384,GR,1
237,-10.308952660644309,41.39858624900385,10136.705228230076,GR,1
238,-10.308952660644309,41.39858624917662,10138.917190471957,GR,1
239,-10.308952660644309,41.398586249343936,10141.085380278933,GR,1
240,-10.308952660644309,41.39858624949648,10143.210647365353,GR,1
241,-10.308952660644309,41.39858624963307,10145.293818781904,GR,1
242,-10.308952660644309,41.39858624975343,10147.335722006143,GR,1
243,-10.308952660644309,41.39858624985733,10149.337184515625,GR,1
244,-10.308952660644309,41.39858624994518,10151.29903257765,GR,1
