t,M,P,model,sim,gene
143,11.94550662341957,3351.3962611836796,Toggle,1,2
144,11.945506623419565,3351.396261329849,Toggle,1,2
145,11.945506623419591,3351.396261453731,Toggle,1,2
146,11.945506623419591,3351.396261557826,Toggle,1,2
147,11.945506623419572,3351.3962616455337,Toggle,1,2
148,11.945506623419586,3351.396261719345,Toggle,1,2
149,11.945506623419623,3351.3962617814004,Toggle,1,2
150,11.94550662341964,3351.3962618330684,Toggle,1,2
151,11.945506623419623,3351.3962618756927,Toggle,1,2
152,11.945506623419591,3351.3962619114295,Toggle,1,2
153,11.945506623419568,3351.3962619423755,Toggle,1,2
154,11.94550662341951,3351.3962619669646,Toggle,1,2
155,11.945506623419432,3351.3962619857502,Toggle,1,2
156,11.945506623419387,3351.396262001763,Toggle,1,2
157,11.945506623419428,3351.396262017725,Toggle,1,2
158,11.945506623419432,3351.3962620299644,Toggle,1,2
159,11.945506623419393,3351.396262038582,Toggle,1,2
160,11.945506623419364,3351.3962620463517,Toggle,1,2
161,11.945506623419407,3351.3962620555503,Toggle,1,2
162,11.94550662341945,3351.396262063129,Toggle,1,2
163,11.945506623419476,3351.3962620689267,Toggle,1,2
164,11.945506623419492,3351.3962620741204,Toggle,1,2
165,11.945506623419508,3351.3962620796456,Toggle,1,2
166,11.94550662341954,3351.3962620847046,Toggle,1,2
167,11.945506623419577,3351.396262089033,Toggle,1,2
168,11.945506623419607,3351.3962620925854,Toggle,1,2
169,11.945506623419622,3351.3962620954258,Toggle,1,2
170,11.945506623419634,3351.396262097947,Toggle,1,2
171,11.945506623419647,3351.3962621001187,Toggle,1,2
172,11.945506623419659,3351.39626210186,Toggle,1,2
173,11.945506623419668,3351.396262103068,Toggle,1,2
174,11.94550662341967,3351.3962621037854,Toggle,1,2
175,11.94550662341967,3351.3962621043097,Toggle,1,2
176,11.945506623419671,3351.3962621049463,Toggle,1,2
177,11.945506623419682,3351.3962621056166,Toggle,1,2
178,11.945506623419684,3351.3962621059186,Toggle,1,2
179,11.945506623419686,3351.396262106125,Toggle,1,2
180,11.945506623419686,3351.3962621065234,Toggle,1,2
181,11.945506623419687,3351.3962621070136,Toggle,1,2
182,11.94550662341969,3351.396262107288,Toggle,1,2
183,11.945506623419691,3351.396262107422,Toggle,1,2
184,11.945506623419687,3351.3962621074925,Toggle,1,2
185,11.94550662341968,3351.3962621075725,Toggle,1,2
186,11.945506623419663,3351.3962621077403,Toggle,1,2
187,11.945506623419632,3351.396262108056,Toggle,1,2
188,11.945506623419613,3351.3962621083247,Toggle,1,2
189,11.94550662341961,3351.396262108498,Toggle,1,2
190,11.945506623419615,3351.3962621086066,Toggle,1,2
191,11.945506623419629,3351.3962621086894,Toggle,1,2
192,11.945506623419647,3351.3962621087794,Toggle,1,2
193,11.945506623419664,3351.396262108913,Toggle,1,2
194,11.94550662341968,3351.396262109098,Toggle,1,2
195,11.945506623419694,3351.3962621092614,Toggle,1,2
196,11.945506623419707,3351.396262109399,Toggle,1,2
197,11.945506623419716,3351.3962621095125,Toggle,1,2
198,11.945506623419721,3351.396262109609,Toggle,1,2
199,11.945506623419725,3351.3962621096907,Toggle,1,2
200,11.945506623419723,3351.396262109762,Toggle,1,2
0,1.0e-6,200.0,Toggle,2,1
1,2.009315213787352,196.52573663587452,Toggle,2,1
2,3.655029815145971,279.03605586017113,Toggle,2,1
3,4.844262338795195,416.6792796218724,Toggle,2,1
4,5.773426921950545,582.0810393927218,Toggle,2,1
5,6.606408996283345,761.2550575647081,Toggle,2,1
6,7.414510345607234,948.6645398597632,Toggle,2,1
7,8.201498050328567,1141.9263856681282,Toggle,2,1
8,8.93858880719482,1338.7260049251897,Toggle,2,1
9,9.593640554128514,1535.7643346636958,Toggle,2,1
10,10.147146348565514,1729.0168829532493,Toggle,2,1
11,10.595367760587376,1914.4780071588402,Toggle,2,1
12,10.946319133418468,2088.8079740308613,Toggle,2,1
13,11.2141261447099,2249.6632522554455,Toggle,2,1
14,11.414573534725573,2395.7367917334514,Toggle,2,1
15,11.562462699300411,2526.621333171925,Toggle,2,1
16,11.670421888784972,2642.600658943436,Toggle,2,1
17,11.748618741205965,2744.436571291156,Toggle,2,1
18,11.804934708363886,2833.1852479670274,Toggle,2,1
19,11.845323110345303,2910.054032574477,Toggle,2,1
20,11.874200547884891,2976.2977798580146,Toggle,2,1
21,11.89480211664553,3033.14866504159,Toggle,2,1
22,11.909476068193309,3081.7720451138634,Toggle,2,1
23,11.919915878543272,3123.2414566630728,Toggle,2,1
24,11.92733713654542,3158.5270209768455,Toggle,2,1
25,11.93260947988611,3188.492826427957,Toggle,2,1
26,11.936353555173886,3213.9000198961635,Toggle,2,1
27,11.939011543617283,3235.4132820546824,Toggle,2,1
28,11.940898086605463,3253.609085679228,Toggle,2,1
29,11.942236878558122,3268.9846600065375,Toggle,2,1
30,11.94318685520058,3281.9670013263412,Toggle,2,1
31,11.94386088387991,3292.9214664843657,Toggle,2,1
32,11.944339094442803,3302.159757506151,Toggle,2,1
33,11.944678362622938,3309.9471617527824,Toggle,2,1
34,11.944919051212086,3316.509013688504,Toggle,2,1
35,11.945089800443512,3322.0363946142406,Toggle,2,1
36,11.945210931491316,3326.6911193616925,Toggle,2,1
37,11.945296862130279,3330.6100638397543,Toggle,2,1
38,11.945357821155573,3333.9088983706806,Toggle,2,1
39,11.945401065096723,3336.685294345406,Toggle,2,1
40,11.945431741921903,3339.0216708855028,Toggle,2,1
41,11.945453503706153,3340.987538463671,Toggle,2,1
42,11.945468941248343,3342.6414931515374,Toggle,2,1
43,11.945479892420103,3344.032910469829,Toggle,2,1
44,11.945487661003934,3345.203382932793,Toggle,2,1
45,11.945493171905401,3346.187937461769,Toggle,2,1
46,11.945497081244397,3347.016064841731,Toggle,2,1
47,11.94549985445553,3347.7125895826,Toggle,2,1
48,11.945501821713414,3348.2984049481274,Toggle,2,1
49,11.945503217242718,3348.7910932220557,Toggle,2,1
50,11.945504207199328,3349.205448627278,Toggle,2,1
51,11.94550490944951,3349.5539180666506,Toggle,2,1
52,11.945505407605882,3349.8469727494644,Toggle,2,1
53,11.94550576098266,3350.0934212559405,Toggle,2,1
54,11.94550601165643,3350.300673071987,Toggle,2,1
55,11.945506189475054,3350.4749604317067,Toggle,2,1
56,11.945506315612022,3350.621525169335,Toggle,2,1
57,11.945506405087595,3350.7447759957863,Toggle,2,1
58,11.945506468556799,3350.848420791992,Toggle,2,1
59,11.945506513577975,3350.9355779033335,Toggle,2,1
60,11.945506545512862,3351.008869827322,Toggle,2,1
61,11.945506568164882,3351.070502041294,Toggle,2,1
62,11.945506584232144,3351.122329282489,Toggle,2,1
63,11.945506595628542,3351.165911290006,Toggle,2,1
64,11.94550660371171,3351.2025597142356,Toggle,2,1
65,11.945506609444738,3351.2333775791176,Toggle,2,1
66,11.945506613510776,3351.2592924561054,Toggle,2,1
67,11.94550661639442,3351.2810843592365,Toggle,2,1
68,11.945506618439385,3351.299409213251,Toggle,2,1
69,11.945506619889516,3351.314818602847,Toggle,2,1
70,11.945506620917755,3351.327776371481,Toggle,2,1
71,11.945506621646812,3351.338672559121,Toggle,2,1
72,11.945506622163693,3351.3478351571553,Toggle,2,1
73,11.94550662253012,3351.3555399788183,Toggle,2,1
