t,M,P,model,gene
43.0,7.678122550849575,1162.219489647892,Repressilator,Gene 3
44.0,8.26566956639399,1330.3289054834531,Repressilator,Gene 3
45.0,8.74869790156535,1496.451820483934,Repressilator,Gene 3
46.0,9.116874921540742,1656.0813787922755,Repressilator,Gene 3
47.0,9.35928281156437,1805.0013643288487,Repressilator,Gene 3
48.0,9.459615138742429,1939.150231325383,Repressilator,Gene 3
49.0,9.392074606043787,2054.2980059504434,Repressilator,Gene 3
50.0,9.121407481826987,2145.633781463166,Repressilator,Gene 3
51.0,8.613112399102206,2207.529646581211,Repressilator,Gene 3
52.0,7.857346952959233,2233.9580351282166,Repressilator,Gene 3
53.0,6.895036763415878,2219.9609999910535,Repressilator,Gene 3
54.0,5.81946240205999,2163.790555682013,Repressilator,Gene 3
55.0,4.743327974492897,2068.3655187489876,Repressilator,Gene 3
56.0,3.7578810884642064,1940.9196888657937,Repressilator,Gene 3
57.0,2.913513071406993,1791.143768099309,Repressilator,Gene 3
58.0,2.2237583914414905,1629.0353449122795,Repressilator,Gene 3
59.0,1.6788615499905706,1463.3668873885201,Repressilator,Gene 3
60.0,1.2582995875429175,1300.9762811375745,Repressilator,Gene 3
61.0,0.9388978034765282,1146.6737708781209,Repressilator,Gene 3
62.0,0.6990256846501112,1003.483929179632,Repressilator,Gene 3
63.0,0.5202741731539979,873.0126760028762,Repressilator,Gene 3
64.0,0.3877792264933749,755.819427822643,Repressilator,Gene 3
65.0,0.2899249006908979,651.7397094571998,Repressilator,Gene 3
66.0,0.21782595905623586,560.1414945627546,Repressilator,Gene 3
67.0,0.16478499461875945,480.11734391334795,Repressilator,Gene 3
68.0,0.12580697694558504,410.62198810678024,Repressilator,Gene 3
69.0,0.09719760961259045,350.5668274394292,Repressilator,Gene 3
70.0,0.07624577608676672,298.88200487280346,Repressilator,Gene 3
71.0,0.06097971943020792,254.55493826179017,Repressilator,Gene 3
72.0,0.04998319688989472,216.6522869487319,Repressilator,Gene 3
73.0,0.04225809563273596,184.33061967637258,Repressilator,Gene 3
74.0,0.03712265878928614,156.83965396658425,Repressilator,Gene 3
75.0,0.03413844325256346,133.5208279949031,Repressilator,Gene 3
76.0,0.03306221102719259,113.80315537287689,Repressilator,Gene 3
77.0,0.03381993682500752,97.19780059592762,Repressilator,Gene 3
78.0,0.03650034605343033,83.29250531703906,Repressilator,Gene 3
79.0,0.04136639610877091,71.7467712489158,Repressilator,Gene 3
80.0,0.048884916199286164,62.2885243075029,Repressilator,Gene 3
81.0,0.05977666678941237,54.71288957418257,Repressilator,Gene 3
82.0,0.07509102992415331,48.883716410253236,Repressilator,Gene 3
83.0,0.09631123194936313,44.73859059245644,Repressilator,Gene 3
84.0,0.12549719630846895,42.29823632270777,Repressilator,Gene 3
85.0,0.16547312977308057,41.68140182947807,Repressilator,Gene 3
86.0,0.2200642653704641,43.12646861777745,Repressilator,Gene 3
87.0,0.2943792260115387,47.02101083565438,Repressilator,Gene 3
88.0,0.3951168630149797,53.94011647663929,Repressilator,Gene 3
89.0,0.5308433750598703,64.69305294447595,Repressilator,Gene 3
90.0,0.712131747077232,80.37509480165687,Repressilator,Gene 3
91.0,0.9513820851283363,102.41584903666303,Repressilator,Gene 3
92.0,1.262069006353783,132.60611562968188,Repressilator,Gene 3
93.0,1.6571476410561334,173.07344340945446,Repressilator,Gene 3
94.0,2.1464910247286038,226.16913715341778,Repressilator,Gene 3
95.0,2.7336197010682444,294.237737751321,Repressilator,Gene 3
96.0,3.4125703524968416,379.2702864587854,Repressilator,Gene 3
97.0,4.166210725027298,482.49094632339677,Repressilator,Gene 3
98.0,4.967147441977725,603.9758792882827,Repressilator,Gene 3
99.0,5.781392081567013,742.4237152551314,Repressilator,Gene 3
100.0,6.573646368009334,895.1629850337612,Repressilator,Gene 3
101.0,7.312335511327951,1058.401414683842,Repressilator,Gene 3
102.0,7.972809197778574,1227.6379094481852,Repressilator,Gene 3
103.0,8.538066658839535,1398.1136543355235,Repressilator,Gene 3
104.0,8.997222898821402,1565.1855152874377,Repressilator,Gene 3
105.0,9.34230234139106,1724.5424184450205,Repressilator,Gene 3
106.0,9.563908774164886,1872.2257951399088,Repressilator,Gene 3
107.0,9.646317588764784,2004.4449382068358,Repressilator,Gene 3
108.0,9.563269945817174,2117.209257200531,Repressilator,Gene 3
109.0,9.27796431566867,2205.8744667927363,Repressilator,Gene 3
110.0,8.753635509473705,2264.87399095083,Repressilator,Gene 3
111.0,7.978660056715515,2288.134531486446,Repressilator,Gene 3
112.0,6.994184060581385,2270.6019620725183,Repressilator,Gene 3
113.0,5.8958657598789985,2210.4818245494,Repressilator,Gene 3
114.0,4.799260002837322,2110.764221757054,Repressilator,Gene 3
115.0,3.7972859595357304,1978.85431153529,Repressilator,Gene 3
116.0,2.9405652655575922,1824.6439655314723,Repressilator,Gene 3
117.0,2.2420238987700847,1658.3014920385103,Repressilator,Gene 3
118.0,1.6910598280669586,1488.7145691892626,Repressilator,Gene 3
119.0,1.266379035214332,1322.7822424126998,Repressilator,Gene 3
120.0,0.9442074871028637,1165.334390217249,Repressilator,Gene 3
121.0,0.7024827541904594,1019.3875319223135,Repressilator,Gene 3
122.0,0.5224962377465254,886.523136524311,Repressilator,Gene 3
